Nr;Zuwendungsempfänger;Projektbezeichnung;Fördersumme nach Jahr und Gesamt;Gesamtförder- zeitraum;Programmbereich
1;Arbeiterwohlfahrt Bundesverband e.V.;Demokratie stärken. Vielfalt gestalten. (DEVI) - selbstreflexive und vorurteilssensible Begegnungen in der Kindertagesbetreuung;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Begleitprojekte
2;Bundesverband Mobile Beratung e.V.;Begleitprojekt Bundesverband Mobile Beratung;2023: 658.032,04 € 2024: 643.120,86 € Gesamt: 1.301.152,90 €;01.01.2020 - 31.12.2024;Begleitprojekte
3;Das NETTZ gGmbH;Bundesarbeitsgemeinschaft »Gegen Hass im Netz«;2023: 580.186,39 € 2024: 493.995,69 € Gesamt: 1.074.182,08 €;01.08.2022 - 31.12.2024;Begleitprojekte
4;Deutscher Paritätischer Wohlfahrtsverband - Gesamtverband;Partizipation und Demokratiebildung in der Kindertagesbetreuung;2023: 231.285,47 € 2024: 192.365,23 € Gesamt: 423.650,70 €;01.01.2020 - 31.12.2024;Begleitprojekte
5;Deutsches Rotes Kreuz e. V.;Demokratie leben - Elternpartizipation beim Übergang Kita-Schule;2023: 153.076,20 € 2024: 162.591,98 € Gesamt: 315.668,18 €;01.01.2020 - 31.12.2024;Begleitprojekte
6;Evangelisches Werk für Diakonie und Entwicklung e.V.;Demokratiebildung in evangelischen Kitas und Familienbildungseinrichtungen;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Begleitprojekte
7;Gesellschaft im Wandel gUG (haftungsbeschränkt);Trialoge - Perspektiven. Zuhören. Verständigung;2023: 0,00 € 2024: 240.000,00 € Gesamt: 240.000,00 €;27.03.2024 - 31.12.2024;Begleitprojekte
8;gsub - Gesellschaft für soziale Unternehmensberatung mbH;ProjekteWerkstatt für Qualitätsprozesse;2023: 364.868,71 € 2024: 191.876,10 € Gesamt: 556.744,81 €;01.07.2021 - 30.06.2024;Begleitprojekte
9;Heinrich Böll Stiftung e.V., Gunda Werner Institut;Antifeminismus begegnen - Demokratie stärken;2023: 500.000,00 € 2024: 500.000,00 € Gesamt: 1.000.000,00 €;01.01.2022 - 31.12.2024;Begleitprojekte
10;Informations- und Dokumentationszentrum für Antirassismusarbeit e.V.;www.vielfalt-mediathek.de;2023: 259.212,10 € 2024: 259.987,72 € Gesamt: 519.199,82 €;01.01.2020 - 31.12.2024;Begleitprojekte
11;Thünen-Institut für Regionalentwicklung e.V.;Transformationsgestalter*innen - Wissens- und Kompenztransfer aus dem Labor Ost;2023: 725.487,48 € 2024: 831.605,01 € Gesamt: 1.557.092,49 €;01.09.2022 - 31.12.2024;Begleitprojekte
12;Verband der Beratungsstellen für Betroffene rechter, rassistischer und antisemitischer Gewalt e.V.;Begleitprojekt Dachverband Opferberatung;2023: 638.886,59 € 2024: 808.181,36 € Gesamt: 1.447.067,95 €;01.01.2020 - 31.12.2024;Begleitprojekte
13;Verband Katholischer Tageseinrichtungen für Kinder (KTK) - Bundesverband e.V.;Demokratie in Kinderschuhen. Mitbestimmung und Vielfalt in katholischen Kitas;2023: 125.000,00 € 2024: 125.000,00 € Gesamt: 250.000,00 €;01.01.2020 - 31.12.2024;Begleitprojekte
14;Violence Prevention Network gGmbH;AG Strafvollzug und Bewährungshilfe;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;15.03.2020 - 31.12.2024;Begleitprojekte
15;Vorstand der Arbeitsgemeinschaft für Kinder- und Jugendhilfe e.V.;"Koordinierungsstelle ""Demokratie und Vielfalt in der Kindertagesbetreuung""";2023: 225.000,00 € 2024: 225.000,00 € Gesamt: 450.000,00 €;01.01.2020 - 31.12.2024;Begleitprojekte
16;ZDK Gesellschaft Demokratische Kultur gGmbh;EXOR - Ausstieg aus ultramilitantem Extremismus in Verbindung mit Organisierter Kriminalität. Sozialraum: Analyse, Beratung, Hilfe;2023: 224.331,05 € 2024: 228.314,00 € Gesamt: 452.645,05 €;01.01.2023 - 31.12.2024;Begleitprojekte
17;Zentralwohlfahrtsstelle der Juden in Deutschland;ATID - Vielfalt gestalten;2023: 130.717,17 € 2024: 132.699,78 € Gesamt: 263.416,95 €;01.01.2020 - 31.12.2024;Begleitprojekte
18;Zentrum für die liberale Moderne gemeinnützige GmbH;Narrativ-Check: Was hinter radikalisierenden Botschaften steckt;2023: 200.054,78 € 2024: 199.828,68 € Gesamt: 399.883,46 €;01.01.2023 - 31.12.2024;Begleitprojekte
19;adis e.V.;Amplifying Voices - Empowermentprozesse als Grundlage demokratischer Partizipation in Kommunen;2023: 200.000,00 € 2024: 200.000,00 € Gesamt: 400.000,00 €;01.01.2020 - 31.12.2024;Demokratieförderung
20;AKSB - Arbeitsgemeinschaft katholisch-sozialer Bildungswerke in der Bundesrepublik Deutschland e.V.;Wie geht Demokratie? Inklusive Demokratiebildung für Jugendliche und junge Erwachsene mit geistiger Behinderung;2023: 199.933,00 € 2024: 199.929,52 € Gesamt: 399.862,52 €;01.01.2020 - 31.12.2024;Demokratieförderung
21;Aktion Zivilcourage e.V.;Couragierte Kinder - ein demokratiefördernder Ansatz für KiTa, Hort und Grundschule;2023: 175.744,24 € 2024: 177.713,64 € Gesamt: 353.457,88 €;01.01.2020 - 31.12.2024;Demokratieförderung
22;Arbeit und Leben Schleswig- Holstein e. V.;DEBATTE - Demokratiebildung an (Berufs-) schulen: Für mehr Toleranz und Teilhabe;2023: 179.117,99 € 2024: 178.919,99 € Gesamt: 358.037,98 €;15.03.2020 - 31.12.2024;Demokratieförderung
